	total_cells	MOI	library_size	total_transfection_events	gt_collisions	estimated_collisions	estimated_collision_rate	gt_collision_rate	percent_estimation_error
110	201000	20	10000	4015020	6136	6297.319424708374	0.0015684403626154723	0.0015282613785236438	2.6290649398365926
111	201000	20	30000	4023250	2105	2106.433182934299	0.0005235650737424468	0.0005232088485677002	0.06808469996670033
112	201000	20	50000	4009952	1250	1255.0552651751786	0.0003129851093417524	0.00031172442961910764	0.40442121401430364
113	201000	20	70000	4016526	929	900.2237170180306	0.0002241299364221794	0.00023129440715683155	3.097554680513396
114	201000	20	90000	4020306	723	701.7301572873257	0.0001745464542468473	0.00017983705717922963	2.9418869588761063
115	201000	25	10000	5033963	10050	9862.45768241398	0.001959183586056151	0.0019964389885265346	1.8660927122987114
116	201000	25	30000	5033145	3350	3291.9998805886135	0.000654064184637759	0.0006655878183521437	1.7313468481011014
117	201000	25	50000	5033736	1944	1979.7995625836775	0.00039330619694471017	0.0003861942700213122	1.8415412851686024
118	201000	25	70000	5035852	1461	1414.360880968161	0.0002808583097692627	0.00029011972552013044	3.192273718811696
119	201000	25	90000	5027344	1117	1095.8063559094444	0.00021796924099672598	0.00022218491513610367	1.8973718970953974
120	201000	30	10000	6029008	14066	14176.452271317132	0.0023513739360301283	0.0023330537959146843	0.7852429355689824
121	201000	30	30000	6019297	4675	4714.877854329534	0.0007832937724005866	0.0007766687704560848	0.8530022316477912
122	201000	30	50000	6025452	2895	2839.748202903196	0.00047129214586776166	0.00048046188070206185	1.9085249428947748
123	201000	30	70000	6043977	2052	2037.8909132340923	0.0003371771456499739	0.00033951155009358903	0.6875773277732826
124	201000	30	90000	6044868	1556	1585.8998954854906	0.0002623547603496868	0.00025740843307082967	1.9215871134634097
125	201000	35	10000	7039579	19192	19262.330641346052	0.0027362901448149176	0.0027262993994385176	0.36645811455842336
126	201000	35	30000	7029732	6501	6439.502844883129	0.0009160381711398285	0.0009247863218683159	0.9459645457140573
127	201000	35	50000	7027470	3885	3859.8649681061506	0.0005492538521126594	0.000552830535028965	0.6469763679240648
128	201000	35	70000	7029677	2632	2761.21596354153	0.00039279414453061357	0.0003744126508230748	4.909421107200986
129	201000	35	90000	7028711	2139	2147.1463287808	0.00030548223262854315	0.00030432322512620024	0.38084753533427507
130	201000	40	10000	8030829	25235	25104.834100193344	0.0031260576087715655	0.0031422658856265027	0.5158149388018952
131	201000	40	30000	8052590	8359	8452.250810115598	0.0010496313372611295	0.0010380511115057392	1.1155737542241662
132	201000	40	50000	8020763	4917	5022.617016488686	0.0006262018983092613	0.0006130339470197537	2.147997081323684
133	201000	40	70000	8052030	3647	3616.319177698344	0.00044911893990687366	0.00045292926131671146	0.8412619221731898
134	201000	40	90000	8032515	2775	2802.823836699128	0.00034893477779987064	0.0003454708768050853	1.002660781950563
135	201000	45	10000	9056374	31888	31979.732937749475	0.003531185100985171	0.0035210559987915693	0.28767228345921714
136	201000	45	30000	9050067	10595	10680.175309294835	0.0011801211316219908	0.0011707095649126135	0.8039198612065519
137	201000	45	50000	9041718	6469	6383.7580897808075	0.000706033752632056	0.0007154613758137558	1.3176984111793564
138	201000	45	70000	9023811	4515	4543.512697687373	0.0005035026440256087	0.0005003429260652733	0.6315104692662857
139	201000	45	90000	9064782	3621	3570.416455546394	0.0003938778070500089	0.00039945803440170983	1.3969495844685507
140	201000	50	10000	10044959	39086	39277.908553469926	0.003910210937990879	0.003891105976639626	0.4909905169879829
141	201000	50	30000	10033174	12823	13102.676902890205	0.0013059353802585508	0.001278060163214552	2.1810567175403994
142	201000	50	50000	10062866	7924	7910.438352404162	0.0007861019268669743	0.0007874496192237878	0.17114648657039178
143	201000	50	70000	10050442	5595	5651.777168896049	0.0005623411556323641	0.0005566919345437743	1.0147840732091016
144	201000	50	90000	10053854	4232	4380.836182912812	0.00043573700025013407	0.00042093310684638945	3.5169230366921425
145	201000	55	10000	11082641	47949	47871.102620560676	0.004319467049465978	0.004326495823513547	0.16245881966115244
146	201000	55	30000	11067695	16108	15913.317593414336	0.0014378167805865934	0.0014554069298078778	1.2086069442864664
147	201000	55	50000	11014849	9538	9507.943270288408	0.000863193246706188	0.0008659219931203778	0.31512612404688795
