
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR21787460_1_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2600000000.0	194911906.2	193286749.0	196701444.5
2610000000.0	195461620.9	193814592.5	197275858.2
2620000000.0	196010702.1	194345035.8	197849824.7
2630000000.0	196558707.0	194874742.9	198422933.5
2640000000.0	197105880.7	195403746.4	198992011.8
2650000000.0	197652428.7	195932057.9	199560615.3
2660000000.0	198199802.5	196459641.9	200128746.5
2670000000.0	198745690.2	196986500.8	200698239.4
2680000000.0	199290766.8	197512637.3	201267664.9
2690000000.0	199835938.9	198038053.8	201836655.1
2700000000.0	200380403.9	198562752.9	202405212.7
2710000000.0	200921938.1	199086737.0	202973340.1
2720000000.0	201462637.0	199610008.6	203541039.9
2730000000.0	202002702.7	200132570.2	204108314.8
2740000000.0	202541824.1	200654424.1	204675167.1
2750000000.0	203079208.9	201175572.8	205241599.4
2760000000.0	203618492.2	201696018.6	205808510.6
2770000000.0	204156678.5	202215763.9	206375033.9
2780000000.0	204693611.7	202734811.1	206941163.2
2790000000.0	205231062.4	203250704.8	207506900.8
2800000000.0	205768460.9	203765835.0	208072249.3
2810000000.0	206305306.8	204280243.1	208637211.1
2820000000.0	206841555.8	204793931.3	209201788.6
2830000000.0	207377210.0	205306901.8	209765984.1
2840000000.0	207912271.4	205819157.0	210329800.1
2850000000.0	208446742.1	206330699.0	210893217.8
2860000000.0	208980624.1	206841530.1	211456211.8
2870000000.0	209512605.8	207351652.4	212018832.1
2880000000.0	210043815.3	207861068.0	212581081.0
2890000000.0	210575213.8	208369779.2	213142527.7
2900000000.0	211106986.4	208877788.1	213700739.0
2910000000.0	211638345.9	209385096.8	214258542.0
2920000000.0	212169135.0	209891707.4	214815938.9
2930000000.0	212699355.6	210397622.1	215372931.7
2940000000.0	213227667.8	210902842.8	215929522.3
2950000000.0	213755879.9	211407371.7	216485712.8
2960000000.0	214283393.3	211911210.8	217044321.7
2970000000.0	214809186.0	212414362.2	217605043.6
2980000000.0	215334206.2	212916827.8	218165404.2
2990000000.0	215858650.7	213418609.8	218725405.3
3000000000.0	216382942.4	213920075.7	219285048.7
3010000000.0	216908229.5	214421955.5	219844336.4
3020000000.0	217432966.4	214923174.1	220403269.9
3030000000.0	217956965.3	215423733.6	220961851.2
3040000000.0	218478093.6	215923635.9	221520081.9
3050000000.0	218998652.1	216422882.8	222077963.9
3060000000.0	219518642.7	216921476.4	222635498.7
3070000000.0	220038123.9	217419418.5	223192688.2
3080000000.0	220557417.9	217916711.0	223749533.9
3090000000.0	221078485.6	218413355.8	224306037.7
3100000000.0	221600292.1	218909354.8	224862190.2
3110000000.0	222121575.6	219404709.8	225416362.7
3120000000.0	222642337.8	219899422.6	225969801.8
3130000000.0	223162949.5	220393495.1	226522909.3
3140000000.0	223681168.8	220886929.0	227075633.1
3150000000.0	224198658.4	221379726.3	227626338.9
3160000000.0	224715614.6	221870762.3	228176461.5
3170000000.0	225232038.8	222358567.4	228726251.0
3180000000.0	225747782.3	222845713.4	229275136.5
3190000000.0	226262368.1	223332201.9	229823451.5
3200000000.0	226776419.5	223818034.9	230371425.9
3210000000.0	227289938.0	224303214.0	230919061.0
3220000000.0	227804054.2	224787741.1	231466358.6
3230000000.0	228318707.4	225271618.0	232013320.4
3240000000.0	228831822.3	225754846.4	232563282.0
3250000000.0	229344427.1	226237428.0	233113109.3
3260000000.0	229856177.9	226719364.7	233660155.8
3270000000.0	230366627.8	227200658.0	234206890.2
3280000000.0	230876274.8	227681309.9	234753314.0
3290000000.0	231385713.4	228162289.6	235299428.8
3300000000.0	231896710.1	228643703.1	235845394.0
3310000000.0	232407218.3	229122420.2	236396502.4
3320000000.0	232917239.6	229597343.5	236947344.7
3330000000.0	233426775.5	230074672.5	237497928.8
3340000000.0	233934583.5	230551444.0	238048256.3
3350000000.0	234440259.4	231027695.3	238597303.8
3360000000.0	234945269.1	231506860.7	239141168.1
3370000000.0	235449308.6	231985614.8	239684726.5
3380000000.0	235953077.4	232463761.2	240227980.6
3390000000.0	236457880.7	232941375.0	240770878.3
3400000000.0	236961022.2	233418385.0	241313426.7
3410000000.0	237465300.0	233894792.3	241855674.2
3420000000.0	237969881.0	234370598.5	242397622.1
3430000000.0	238473306.2	234845805.1	242939271.7
3440000000.0	238975885.3	235318912.2	243480624.5
3450000000.0	239477348.0	235791175.3	244021681.9
3460000000.0	239978140.1	236262836.0	244562445.1
3470000000.0	240478443.2	236733896.0	245102915.5
3480000000.0	240978258.5	237204356.7	245643094.5
3490000000.0	241477587.5	237674219.6	246182983.4
3500000000.0	241976431.3	238143486.2	246722583.5
3510000000.0	242474791.3	238612158.1	247261896.0
3520000000.0	242972577.6	239080236.6	247800922.3
3530000000.0	243468304.9	239547723.2	248339663.6
3540000000.0	243964053.4	240014619.4	248878331.7
3550000000.0	244463139.4	240480926.6	249421706.0
3560000000.0	244959377.7	240946646.3	249964846.5
3570000000.0	245454861.0	241411780.0	250507754.5
3580000000.0	245949869.1	241876328.9	251050431.2
3590000000.0	246444403.4	242340294.6	251592878.0
3600000000.0	246938464.9	242803678.5	252135096.2
3610000000.0	247432054.9	243266481.9	252677087.0
3620000000.0	247925703.9	243728706.3	253218851.7
3630000000.0	248418875.4	244190353.1	253760391.5
3640000000.0	248910914.3	244651423.6	254301707.8
3650000000.0	249402065.8	245111919.2	254842801.8
3660000000.0	249892973.9	245572062.9	255383674.7
3670000000.0	250383759.6	246032161.8	255924327.7
3680000000.0	250874082.0	246491692.3	256464762.0
3690000000.0	251363942.3	246950655.9	257004978.8
3700000000.0	251853341.4	247409053.9	257544979.4
3710000000.0	252342280.6	247866887.5	258084764.9
3720000000.0	252830761.1	248324158.2	258624336.6
3730000000.0	253318783.8	248780867.1	259163695.5
3740000000.0	253806349.9	249237015.8	259702842.8
3750000000.0	254293460.6	249692605.3	260241779.6
3760000000.0	254780116.8	250147637.2	260780368.5
3770000000.0	255266319.7	250602112.5	261315849.8
3780000000.0	255752070.4	251056032.7	261851096.6
3790000000.0	256237369.9	251509398.9	262386109.7
3800000000.0	256722219.4	251962212.5	262920829.4
3810000000.0	257206619.8	252414474.8	263455277.3
3820000000.0	257687190.3	252866231.1	263989493.9
3830000000.0	258170361.2	253317443.4	264523480.1
3840000000.0	258654173.3	253768108.3	265057237.0
3850000000.0	259137541.4	254218227.1	265590765.6
3860000000.0	259620466.4	254667800.9	266124066.8
3870000000.0	260102949.5	255116831.1	266657141.7
3880000000.0	260584937.5	255565318.8	267189991.3
3890000000.0	261065783.1	256013265.2	267722616.5
3900000000.0	261546188.9	256460671.7	268255018.3
3910000000.0	262026156.0	256907539.3	268787197.7
3920000000.0	262505685.3	257354049.3	269319155.7
3930000000.0	262984777.9	257800972.5	269850893.1
3940000000.0	263463434.6	258247365.8	270382043.2
3950000000.0	263941656.6	258693230.4	270912530.2
3960000000.0	264419444.7	259138567.5	271442791.2
3970000000.0	264896799.9	259581273.0	271972807.2
3980000000.0	265373723.3	260023241.2	272502594.7
3990000000.0	265850215.7	260464676.0	273032158.5
4000000000.0	266326278.1	260905578.6	273561499.5
4010000000.0	266801911.5	261346549.6	274090618.6
4020000000.0	267277116.7	261787508.2	274619516.5
4030000000.0	267751894.8	262227941.8	275148194.3
4040000000.0	268226246.7	262667851.6	275676652.8
4050000000.0	268700173.2	263107238.7	276204892.8
4060000000.0	269173675.4	263546104.3	276732915.2
4070000000.0	269646754.1	263984449.5	277260720.8
4080000000.0	270119410.2	264422275.4	277788310.4
4090000000.0	270591644.7	264859583.1	278315684.9
4100000000.0	271063458.4	265296373.8	278842845.2
4110000000.0	271534852.3	265732648.5	279369792.0
4120000000.0	272005827.2	266168408.4	279896526.1
4130000000.0	272476384.1	266603654.6	280422891.1
4140000000.0	272946523.8	267038388.1	280948997.4
4150000000.0	273415983.5	267472610.1	281474885.5
4160000000.0	273884855.0	267906321.6	282000556.3
4170000000.0	274353306.2	268339523.8	282526010.4
4180000000.0	274821338.1	268772217.6	283051248.7
4190000000.0	275288951.5	269204404.2	283576271.8
4200000000.0	275756285.3	269636084.7	284101080.5
4210000000.0	276223371.8	270067260.1	284625675.6
4220000000.0	276690043.2	270497931.4	285150057.7
4230000000.0	277156300.5	270928099.7	285674227.7
4240000000.0	277622144.4	271357766.2	286199091.1
4250000000.0	278088335.7	271786931.7	286725171.2
4260000000.0	278554334.9	272215597.5	287249080.0
4270000000.0	279019931.4	272643764.4	287772788.4
